,precision,recall,f1-score,support
Account & Login,0.8,1.0,0.8888888888888888,8.0
App & Technical Issues,0.9333333333333333,0.6363636363636364,0.7567567567567568,22.0
Billing & Payment,0.8666666666666667,1.0,0.9285714285714286,13.0
Content Availability,1.0,0.9047619047619048,0.95,21.0
Feature Request / Feedback,0.5238095238095238,0.7333333333333333,0.6111111111111112,15.0
How-to / General Question,0.5555555555555556,0.625,0.5882352941176471,8.0
Noise / Unclassifiable,0.8727272727272727,0.8421052631578947,0.8571428571428571,57.0
Playback & Audio,0.6666666666666666,0.8,0.7272727272727273,10.0
Playlist & Library,0.0,0.0,0.0,0.0
Premium & Subscription,0.7142857142857143,0.38461538461538464,0.5,13.0
accuracy,0.7844311377245509,0.7844311377245509,0.7844311377245509,0.7844311377245509
macro avg,0.6933044733044734,0.6926179522232154,0.6807979063861417,167.0
weighted avg,0.8215534299366635,0.7844311377245509,0.7921174100638702,167.0
